❯ python train_cifar100_resnet_v3.py --arch resnet18 --epochs 130 --batch-size 256 --max-lr 0.4 --pct-start 0.3 --div-factor 25 --final-div-factor 10000 --weight-decay 5e-4 --label-smoothing 0.05 --autoaugment --cutmix-prob 0.5 --cutmix-alpha 1.0 --random-erasing 0.0 --ema 0.999 --nesterov
Files already downloaded and verified
Files already downloaded and verified
Epoch 075/130 | train: loss 2.562 acc 43.99% | val: loss 1.315 acc 63.86% | best: 67.03%
Epoch 076/130 | train: loss 2.613 acc 43.04% | val: loss 1.274 acc 64.63% | best: 67.03%
Epoch 077/130 | train: loss 2.466 acc 45.78% | val: loss 1.674 acc 55.84% | best: 67.03%
Epoch 078/130 | train: loss 2.535 acc 44.99% | val: loss 1.271 acc 65.14% | best: 67.03%
Epoch 079/130 | train: loss 2.481 acc 45.77% | val: loss 1.467 acc 60.80% | best: 67.03%
Epoch 080/130 | train: loss 2.607 acc 43.52% | val: loss 1.322 acc 64.58% | best: 67.03%
Epoch 081/130 | train: loss 2.475 acc 46.06% | val: loss 1.234 acc 65.53% | best: 67.03%
Epoch 082/130 | train: loss 2.660 acc 42.38% | val: loss 1.249 acc 65.07% | best: 67.03%
Epoch 083/130 | train: loss 2.463 acc 46.38% | val: loss 1.309 acc 64.21% | best: 67.03%
Epoch 084/130 | train: loss 2.554 acc 44.82% | val: loss 1.217 acc 66.05% | best: 67.03%
Epoch 085/130 | train: loss 2.491 acc 45.71% | val: loss 1.435 acc 61.83% | best: 67.03%
Epoch 086/130 | train: loss 2.506 acc 45.52% | val: loss 1.429 acc 62.54% | best: 67.03%
Epoch 087/130 | train: loss 2.508 acc 45.73% | val: loss 1.139 acc 68.23% | best: 68.23%
Epoch 088/130 | train: loss 2.464 acc 46.76% | val: loss 1.112 acc 69.10% | best: 69.10%
Epoch 089/130 | train: loss 2.560 acc 44.99% | val: loss 1.381 acc 62.72% | best: 69.10%
Epoch 090/130 | train: loss 2.443 acc 47.23% | val: loss 1.171 acc 67.33% | best: 69.10%
Epoch 091/130 | train: loss 2.464 acc 46.65% | val: loss 1.268 acc 65.26% | best: 69.10%
Epoch 092/130 | train: loss 2.425 acc 47.70% | val: loss 1.187 acc 66.84% | best: 69.10%
Epoch 093/130 | train: loss 2.430 acc 47.61% | val: loss 1.255 acc 65.60% | best: 69.10%
Epoch 094/130 | train: loss 2.388 acc 48.70% | val: loss 1.319 acc 64.62% | best: 69.10%
Epoch 095/130 | train: loss 2.404 acc 48.23% | val: loss 1.096 acc 69.98% | best: 69.98%
Epoch 096/130 | train: loss 2.442 acc 47.81% | val: loss 1.237 acc 67.11% | best: 69.98%
Epoch 097/130 | train: loss 2.373 acc 48.93% | val: loss 1.204 acc 66.50% | best: 69.98%
Epoch 098/130 | train: loss 2.364 acc 49.45% | val: loss 1.188 acc 67.17% | best: 69.98%
Epoch 099/130 | train: loss 2.415 acc 48.53% | val: loss 1.441 acc 61.87% | best: 69.98%
Epoch 100/130 | train: loss 2.368 acc 49.35% | val: loss 1.188 acc 67.80% | best: 69.98%
Epoch 100/130 | train: loss 2.368 acc 49.35% | val: loss 1.188 acc 67.80% | best: 69.98%
Epoch 101/130 | train: loss 2.388 acc 49.09% | val: loss 1.334 acc 64.55% | best: 69.98%
Epoch 102/130 | train: loss 2.322 acc 50.44% | val: loss 1.150 acc 69.75% | best: 69.98%
Epoch 101/130 | train: loss 2.388 acc 49.09% | val: loss 1.334 acc 64.55% | best: 69.98%
Epoch 102/130 | train: loss 2.322 acc 50.44% | val: loss 1.150 acc 69.75% | best: 69.98%
Epoch 103/130 | train: loss 2.423 acc 48.47% | val: loss 1.276 acc 66.89% | best: 69.98%
Epoch 104/130 | train: loss 2.268 acc 51.95% | val: loss 1.196 acc 67.87% | best: 69.98%
Epoch 103/130 | train: loss 2.423 acc 48.47% | val: loss 1.276 acc 66.89% | best: 69.98%
Epoch 104/130 | train: loss 2.268 acc 51.95% | val: loss 1.196 acc 67.87% | best: 69.98%
Epoch 105/130 | train: loss 2.376 acc 49.39% | val: loss 1.290 acc 66.00% | best: 69.98%
Epoch 106/130 | train: loss 2.214 acc 53.12% | val: loss 1.164 acc 68.57% | best: 69.98%
Epoch 105/130 | train: loss 2.376 acc 49.39% | val: loss 1.290 acc 66.00% | best: 69.98%
